City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Sambava,MG,2022-08-02 16:23:10,-14.2667,50.1667,70.59,81,0,13.94
125,Katobu,ID,2022-08-02 16:23:10,-4.9408,122.5276,73.78,91,67,4.65
126,Port Hardy,CA,2022-08-02 16:23:11,50.6996,-127.4199,62.78,72,75,5.75
127,Aguimes,ES,2022-08-02 16:23:11,27.9054,-15.4461,79.66,61,20,29.93
128,Buraydah,SA,2022-08-02 16:23:11,26.326,43.975,104.45,23,91,13.8
129,Hithadhoo,MV,2022-08-02 16:23:12,-0.6,73.0833,81.07,73,23,13.94
130,Puerto Rondon,CO,2022-08-02 16:23:12,6.2805,-71.1,76.44,88,100,5.14
131,Henties Bay,NA,2022-08-02 16:23:12,-22.116,14.2845,57.13,75,0,11.59
132,Vaini,TO,2022-08-02 16:23:13,-21.2,-175.2,73.56,94,20,8.05
133,Gazanjyk,TM,2022-08-02 16:23:13,39.2446,55.5154,97.3,21,0,5.3
134,Kajaani,FI,2022-08-02 16:23:17,64.2273,27.7285,60.85,88,20,5.75
135,Harihar,IN,2022-08-02 16:23:17,14.5167,75.8,74.62,88,100,8.55
136,Camp Verde,US,2022-08-02 16:23:17,34.5636,-111.8543,92.35,46,54,0.43
137,Altay,CN,2022-08-02 16:23:18,47.8667,88.1167,66.97,46,28,7.4
138,Savonlinna,FI,2022-08-02 16:23:18,61.8699,28.88,62.65,88,59,3.44
139,Charters Towers,AU,2022-08-02 16:23:18,-20.1,146.2667,60.24,94,6,7.4
140,Pangnirtung,CA,2022-08-02 16:23:19,66.1451,-65.7125,46.4,81,75,10.36
141,Punta Alta,AR,2022-08-02 16:22:19,-38.8759,-62.0736,56.44,69,100,5.48
142,Tuktoyaktuk,CA,2022-08-02 16:23:19,69.4541,-133.0374,53.6,87,75,9.22
143,Hanna,CA,2022-08-02 16:20:42,51.6334,-111.9018,63.86,64,61,11.01
144,Dharmanagar,IN,2022-08-02 16:23:21,24.3667,92.1667,78.19,96,94,3.09
145,Airai,TL,2022-08-02 16:23:22,-8.9266,125.4092,55.72,88,76,2.26
146,Harper,LR,2022-08-02 16:22:11,4.375,-7.7169,76.66,67,72,9.06
147,Kruisfontein,ZA,2022-08-02 16:23:22,-34.0033,24.7314,56.19,61,80,4.7
148,Ahipara,NZ,2022-08-02 16:22:01,-35.1667,173.1667,53.76,88,100,5.7
149,Talakan,RU,2022-08-02 16:23:22,50.3167,130.3667,64.71,97,78,2.26
150,Monte Alegre,BR,2022-08-02 16:23:23,-2.0078,-54.0692,89.15,52,16,5.06
151,Norman Wells,CA,2022-08-02 16:23:23,65.282,-126.8329,60.84,59,75,6.91
152,Kangaatsiaq,GL,2022-08-02 16:23:23,68.3065,-53.4641,44.87,85,100,5.32
153,Sitka,US,2022-08-02 16:21:46,57.0531,-135.33,55.29,88,100,5.75
154,Coihaique,CL,2022-08-02 16:23:24,-45.5752,-72.0662,43.41,65,75,5.75
155,Usogorsk,RU,2022-08-02 16:23:24,63.4106,48.6872,69.01,57,80,1.3
156,Keighley,GB,2022-08-02 16:23:24,53.8679,-1.9066,75.92,76,75,13.8
157,Sovik,NO,2022-08-02 16:23:24,65.9333,12.4667,61.32,67,20,8.05
158,Qianan,CN,2022-08-02 16:23:25,44.9932,124.0581,79.38,76,100,6.82
159,Te Anau,NZ,2022-08-02 16:23:25,-45.4167,167.7167,43.39,84,40,8.72
160,Saint-Joseph,RE,2022-08-02 16:23:25,-21.3667,55.6167,70.18,79,27,8.81
161,Naze,JP,2022-08-02 16:23:26,28.3667,129.4833,79.72,88,12,10.92
162,Cabo San Lucas,MX,2022-08-02 16:19:09,22.8909,-109.9124,89.62,60,40,1.99
163,Bucerias,MX,2022-08-02 16:20:10,20.75,-105.3333,86.99,70,75,2.3
164,Raudeberg,NO,2022-08-02 16:23:26,61.9875,5.1352,57.87,70,100,16.28
165,Bourail,NC,2022-08-02 16:23:26,-21.5667,165.4833,70.86,88,74,1.54
166,Akureyri,IS,2022-08-02 16:23:26,65.6835,-18.0878,46.33,87,100,18.41
167,Conceicao Do Araguaia,BR,2022-08-02 16:23:27,-8.2578,-49.2647,97.75,20,49,8.1
168,Cherskiy,RU,2022-08-02 16:19:48,68.75,161.3,55.45,95,100,4.07
169,Mount Gambier,AU,2022-08-02 16:23:27,-37.8333,140.7667,53.51,76,100,21.85
170,Pacov,CZ,2022-08-02 16:23:27,49.4708,15.0017,78.75,44,100,2.98
171,San Jeronimo,PE,2022-08-02 16:23:28,-11.9472,-75.2829,59.31,42,16,2.19
172,Hualmay,PE,2022-08-02 16:23:28,-11.0964,-77.6139,64.92,74,46,9.78
173,Bathsheba,BB,2022-08-02 16:23:28,13.2167,-59.5167,88.41,83,40,24.16
174,Atuona,PF,2022-08-02 16:23:28,-9.8,-139.0333,76.37,71,10,20.8
175,Stilfontein,ZA,2022-08-02 16:23:29,-26.8449,26.7683,60.62,42,62,11.41
176,Vredendal,ZA,2022-08-02 16:23:29,-31.6683,18.5012,63.32,41,62,13.04
177,College,US,2022-08-02 16:19:51,64.8569,-147.8028,58.95,93,75,4.61
178,Chifeng,CN,2022-08-02 16:23:29,42.2683,118.9636,77.29,63,79,6.02
179,Igrim,RU,2022-08-02 16:23:30,63.1906,64.4162,63.79,59,7,2.98
180,Nanton,CA,2022-08-02 16:23:30,50.3501,-113.7687,68.05,52,1,11.9
181,Severo-Kurilsk,RU,2022-08-02 16:23:30,50.6789,156.125,51.84,86,94,6.6
