City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Biak,ID,-0.9131,122.8766,297.32,76,41,2.24,scattered clouds
167,Rorvik,NO,64.8621,11.2373,287.21,72,20,8.75,few clouds
168,Bengkulu,ID,-3.8004,102.2655,296.94,85,100,1.92,overcast clouds
169,Alyangula,AU,-13.8483,136.4192,296.32,90,75,2.86,broken clouds
170,Matay,EG,28.419,30.7792,310.63,17,3,5.68,clear sky
171,Salym,RU,60.0625,71.4789,293.08,63,76,2.47,broken clouds
172,Somerset,US,40.5668,-74.5496,304.92,66,0,3.09,clear sky
173,Asyut,EG,27.181,31.1837,311.41,14,6,6.0,clear sky
174,Cartagena Del Chaira,CO,1.3349,-74.8429,296.48,97,98,1.01,moderate rain
175,Sebezh,RU,56.2955,28.4654,298.35,63,52,1.89,broken clouds
176,Dingle,PH,10.9995,122.6711,297.38,90,98,2.06,overcast clouds
177,Napasar,IN,27.9667,73.55,302.52,72,95,0.87,overcast clouds
178,San Quintin,MX,30.4833,-115.95,295.54,81,16,5.13,few clouds
179,Tripoli,LY,32.8752,13.1875,302.89,57,0,7.71,clear sky
180,New Norfolk,AU,-42.7826,147.0587,281.44,71,90,1.34,light rain
181,Keetmanshoop,NA,-26.5833,18.1333,296.9,15,40,3.53,scattered clouds
182,San Patricio,US,28.017,-97.5169,306.43,44,99,4.57,overcast clouds
183,Launceston,AU,-41.45,147.1667,280.46,97,55,3.09,broken clouds
184,Kollam,IN,8.8833,76.6,298.0,86,100,5.55,moderate rain
185,Huilong,CN,31.8111,121.655,302.02,86,6,4.4,clear sky
186,Fortuna,US,40.5982,-124.1573,293.11,85,0,1.54,clear sky
187,Antofagasta,CL,-23.65,-70.4,288.75,64,24,2.92,few clouds
188,Batagay-Alyta,RU,67.8006,130.4114,284.38,61,100,1.14,overcast clouds
189,Ust-Maya,RU,60.4167,134.5333,290.4,71,71,5.1,broken clouds
190,Vilyuysk,RU,63.7553,121.6247,289.29,99,100,0.89,moderate rain
191,Noumea,NC,-22.2763,166.4572,296.48,99,13,3.22,few clouds
192,Husavik,IS,66.0449,-17.3389,287.12,56,12,1.6,few clouds
193,Longyearbyen,SJ,78.2186,15.6401,282.06,93,75,1.54,light intensity drizzle
194,Faanui,PF,-16.4833,-151.75,298.6,76,58,11.14,light rain
195,Port-Gentil,GA,-0.7193,8.7815,299.13,73,40,6.69,scattered clouds
196,Makurdi,NG,7.7411,8.5121,302.44,67,81,1.95,broken clouds
197,Souillac,MU,-20.5167,57.5167,294.36,73,40,5.14,scattered clouds
198,Bethel,US,41.3712,-73.414,305.6,62,0,2.06,clear sky
199,Itaperucu,BR,-25.22,-49.3478,292.54,52,94,2.14,overcast clouds
200,Mount Isa,AU,-20.7333,139.5,294.02,43,75,2.57,broken clouds
201,Salinopolis,BR,-0.6136,-47.3561,302.1,67,39,6.09,scattered clouds
202,Talnakh,RU,69.4865,88.3972,287.91,86,80,1.85,broken clouds
203,New Smyrna Beach,US,29.0258,-80.927,307.13,74,40,4.12,scattered clouds
204,Vila,PT,42.0304,-8.1588,302.98,41,32,2.44,scattered clouds
205,Koumac,NC,-20.5667,164.2833,295.28,89,5,1.51,clear sky
206,Zhigansk,RU,66.7697,123.3711,282.97,85,100,9.46,light rain
207,Mbulu,TZ,-3.85,35.5333,288.84,59,33,5.05,scattered clouds
208,Half Moon Bay,US,37.4636,-122.4286,294.77,76,40,3.09,scattered clouds
209,Krasnotorka,UA,48.682,37.5327,298.19,54,87,8.68,overcast clouds
210,Coquimbo,CL,-29.9533,-71.3436,287.0,76,0,4.63,clear sky
211,Kavieng,PG,-2.5744,150.7967,300.31,76,100,2.96,overcast clouds
212,Abu Dhabi,AE,24.4667,54.3667,309.21,72,0,3.09,clear sky
213,Pangoa,PE,-12.1167,-73.0,293.13,98,100,1.31,overcast clouds
214,Hasaki,JP,35.7333,140.8333,295.53,75,100,4.62,overcast clouds
215,Deputatskiy,RU,69.3,139.9,280.24,72,84,1.16,broken clouds
216,Sabirabad,AZ,40.0095,48.4752,304.88,31,25,7.57,scattered clouds
217,Praya,CV,14.9215,-23.5087,303.45,62,75,7.72,broken clouds
218,Dhidhdhoo,MV,6.8833,73.1,300.1,84,100,7.8,heavy intensity rain
219,Tasiilaq,GL,65.6145,-37.6368,283.24,74,15,1.52,few clouds
220,Dikson,RU,73.5069,80.5464,280.92,92,92,7.56,overcast clouds
221,Kaeo,NZ,-35.1,173.7833,283.29,91,51,0.78,broken clouds
222,Scarborough,GB,54.2797,-0.4044,290.0,66,96,0.89,overcast clouds
223,Vyartsilya,RU,62.1764,30.693,298.49,100,94,4.24,overcast clouds
224,College,US,64.8569,-147.8028,286.05,92,75,3.6,mist
225,Tucuma,BR,-0.1833,-50.05,301.91,72,26,3.75,scattered clouds
226,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,297.74,35,6,1.75,clear sky
227,Umm Lajj,SA,25.0213,37.2685,305.15,63,6,3.04,clear sky
228,Odemira,PT,37.598,-8.6397,294.35,55,0,5.15,clear sky
229,Los Llanos De Aridane,ES,28.6585,-17.9182,297.01,65,75,6.69,broken clouds
230,Georgetown,MY,5.4112,100.3354,302.53,83,40,1.03,light rain
231,Arraial Do Cabo,BR,-22.9661,-42.0278,308.13,51,0,5.66,clear sky
232,Santa Marta,CO,11.2408,-74.199,301.52,76,91,4.01,overcast clouds
233,Waitati,NZ,-45.75,170.5667,286.37,67,100,1.62,overcast clouds
234,Butaritari,KI,3.0707,172.7902,300.73,77,22,5.6,few clouds
235,Vila Velha,BR,-20.3297,-40.2925,305.12,53,0,6.17,clear sky
236,Shingu,JP,33.7333,135.9833,298.0,93,11,2.13,few clouds
237,Provideniya,RU,64.3833,-173.3,280.61,88,100,7.66,moderate rain
238,Cherskiy,RU,68.75,161.3,281.66,72,100,3.52,overcast clouds
239,Kaitangata,NZ,-46.2817,169.8464,282.88,84,100,2.35,overcast clouds
