City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Namatanai,PG,77.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
276,Kant,IN,87.98,broken clouds,27.8,79.8,Sumit Verma
281,Panzhihua,CN,71.15,broken clouds,26.5851,101.7128,Electric Power Hotel
282,Axim,GH,75.49,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
285,Nisia Floresta,BR,86.38,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
293,Vung Tau,VN,79.61,overcast clouds,10.346,107.0843,Seaside Resort
295,Caravelas,BR,79.25,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
297,Phonhong,LA,75.61,overcast clouds,18.5007,102.4166,Manyvong Guest House
307,Koungheul,SN,83.89,overcast clouds,13.9833,-14.8,Statation petrodis
308,La Reforma,MX,88.97,overcast clouds,25.0833,-108.05,Hotel Reforma
309,Susanville,US,78.8,scattered clouds,40.4163,-120.653,Comfort Inn & Suites
312,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
313,Yagoua,CM,76.59,broken clouds,10.3411,15.2329,Sahel Hotel
314,Carsamba,TR,78.78,broken clouds,41.1989,36.7219,Carsamba Ogretmenevi
315,Sur,OM,85.24,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
317,Khangarh,PK,89.67,overcast clouds,29.9173,71.1618,خلیل پکوان سنٹر
318,Corn Island,NI,78.33,overcast clouds,12.1694,-83.0418,Big Fish Guest House
320,Qui Nhon,VN,78.85,overcast clouds,13.7667,109.2333,Seagull Hotel
325,Atambua,ID,70.23,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
326,Mahe,IN,76.48,heavy intensity rain,11.7,75.5333,Mahi Midas Sea View Hotel
330,Guaiuba,BR,85.82,clear sky,-4.0397,-38.6372,C.T DO JUVENTUS
331,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
334,Laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
335,Tautira,PF,76.48,light rain,-17.7333,-149.15,Pension Oaoa
336,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
337,Pacific Grove,US,72.41,scattered clouds,36.6177,-121.9166,Lovers Point Inn
338,San Policarpo,PH,77.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
341,Licheng,CN,76.23,overcast clouds,23.2955,113.8284,Xincheng Tourism Industry
342,Lazaro Cardenas,MX,86.58,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
344,Lompoc,US,73.54,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
346,Goderich,CA,84.52,clear sky,43.7501,-81.7165,Harmony Inn
347,La Seyne-Sur-Mer,FR,87.64,clear sky,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
348,Maua,BR,74.75,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
355,Ville-Marie,CA,76.44,few clouds,47.3335,-79.433,La Bannik
357,Cubuk,TR,83.95,few clouds,40.2386,33.0322,Çubuk Öğretmenevi
358,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
359,Taraz,KZ,73.81,broken clouds,42.9,71.3667,Comfort Inn
364,Pathein,MM,76.91,light rain,16.7833,94.7333,Pathein Hotel
365,Shangrao,CN,82.04,scattered clouds,28.4532,117.9686,Boyue boutique Hotel
366,Komsomolskiy,UZ,80.87,broken clouds,40.4272,71.7189,Ikathouse
368,Nantucket,US,84.34,few clouds,41.2835,-70.0995,Jared Coffin House
369,Yining,CN,78.06,scattered clouds,29.0361,114.5636,Xiushui Hotel
372,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
373,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
374,Lanzhou,CN,79.84,overcast clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
381,Bubaque,GW,75.94,heavy intensity rain,11.2833,-15.8333,"Casa Dora, Bubaque"
383,Grand Baie,MU,70.45,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
